Size  Mean precise    Mean rough (2)  Deviation       %  

2     3.720953369     3.720953369     0               0  
3     4.659872209     4.659872209     0               0  
4     6.620113028     7.000480965     0.8570388442    6  
5     7.809509991     8.39203454      0.9497028117    7  
6     8.651422066     9.554124472     1.203786117     10 
7     8.901054991     10.20479832     1.540851476     15 
8     9.787393068     11.16403178     1.599126854     14 
9     10.97938474     12.64856864     1.779666271     15 
10    9.574704393     11.29391096     1.977767494     18 

11    11.55645832     13.57387393     2.139531923     17 
12    10.92281551     13.36237075     2.649686339     22 
13    11.94733449     14.51501579     2.728985048     21 
14    11.80930833     14.45637847     2.843379326     22 
15    13.20317909     16.45489579     3.386930562     25 
16    13.81878435     16.83528645     3.211227425     22 
17    13.83388903     17.57241611     4.082525013     27 
18    14.16118607     17.19892494     3.176373736     21 
19    14.24468001     17.83118251     3.839343749     25 
20    14.25325438     18.25290074     4.118708547     28 

21    15.17829466     18.89108219     3.85042211      24 
22    14.98821796     18.96345349     4.09533204      27 

Quantity of tests: 15
